Date,Clicks,Impressions,CTR,Position
2026-02-04,0,0,,
2026-02-05,0,0,,
2026-02-06,0,1,0%,64
2026-02-07,0,2,0%,10
2026-02-08,0,0,,
2026-02-09,0,2,0%,54
2026-02-10,0,3,0%,15.3
2026-02-11,0,3,0%,25
2026-02-12,0,7,0%,16.9
2026-02-13,0,5,0%,32.8
2026-02-14,0,6,0%,13.8
2026-02-15,0,11,0%,21.4
2026-02-16,1,5,20%,14.2
2026-02-17,0,5,0%,14.8
2026-02-18,0,9,0%,11.8
2026-02-19,0,10,0%,12.2
