Date,Total crawl requests,Total download size (Bytes),Average response time (ms)
2026-02-04,61,613339,180
2026-02-05,55,387303,77
2026-02-06,3,22252,25
2026-02-07,2,16095,300
2026-02-08,10,74255,84
2026-02-09,0,0,0
2026-02-10,12,65704,82
2026-02-11,5,24910,74
2026-02-12,13,88721,123
2026-02-13,7,44158,67
2026-02-14,3,11224,40
2026-02-15,2,11104,0
2026-02-16,7,49423,159
2026-02-17,4,22306,0
2026-02-18,1,14619,454
2026-02-19,0,0,0
2026-02-20,6,43785,52
